Genotype,Position,7 spt Lbb,Ambush bug,Ant (unkn),Anthicid (blk),Anthocorid,Araniella,Asilidae,assassin,Assassin (brn),Assassin (rd/blk),Assilid,BEB,bee (brn),Beetle (anobiid),Beetle (blk/wht),Beetle (sm grn),Beetle (unkn blk),Beetle (unkn brn),Beetle (unkn nymph),big eye fly (blk/wht),Bp Chalcid,Braconid,Braconid (blk/wht),bronc beetle,Bug (flat blk/rd),Calophorid,Calophoridae (gld),Caterpiilar (unkn big/brn),Caterpillar (gnt/grn),Cercopid (brn),Cercopid (yllw),Chait (rd),Chait (grn),Cicada,Clerid (blk),Clerid (gry/blk),Clerid (rd/blk),Cocc (chkrd),Cocc (lng thin nymph),Cocc nymph (blk/orng),cocc nymph (gry),Coenagrionidae,Earwig,edge mnr ,egg on a stick,Fly (blk w/yllw abdm),Fly (blk wngs),Fly (brn/rnd),Fly (fzzy blk w drk wngs),Fly (gldn Dolicho),Fly (gry/brn hyln),Fly (hyln),Fly (lng/rd),Fly (lngthndip),fly (sm metallic),Fly (tan),Fly (tny),Fly (unkn sm),Formica spp 1,Formica spp 2,Formica spp 3,Globuli,Hemipt (bg brn),Hymenoptera (unkn.),Ichneumonid,Katydid,Lacewing (grn),Lbb (blk w 2 orng spt),Lbb (many spt),Lbb (no spot),Lf roller,Lf tier,Lfhppr (brn),Lfhppr (brnmtld),Lfhppr (fisheye),Lfhppr (grn),Lfhppr (sknk),Lfhppr (tan),Lfhppr (turq),lng blk paras,long thin nymph,mayfly,Melyrid (gry/blk),membracid,Membracid (blk/wht),Membracid (grn/blk),midge,Mirid (blk/brn),mirid (blk/wht),Mirid (brn),Mirid (brn/wht),Mirid (rd/wht),mite gall,moth (unkn wht),Muscid,Myrm ant,Nymph (unkn sm blk),Nymph (unkn yllw),Paras ,Paras (lng thin),Paras (rd),Penta (blk/wht/red nymph),Penta (brachy),Penta (nymph),Penta (Podisus),penta (rd/brn),Penta nymph (grn brn),Pentatomid (red/blk/wht),pentatomid (gry),Phylla,punkie,red mite,Salticid (blk),Salticid (blk/rd),Salticid (brn),Salticid (brnz),Salticid (gry),Salticid (zebra),Salticid(wht/blk),serp lf mnr ,Snakefly,Spider (big/brn w blk legs),Spider (Araneid blk gry),Spider (blk/wht),Spider (gry crab),Spider (lg Clubionid/Thomisid),Spider (rd/blk Lycosid),Spider (rd/wht),Spider (sm wht),Spider (unkn),Spider (yllw/brn crab),Spittle bug,Spot blotch,stem borer,Syrhpid (blk/wht big),Syrphid (lttl/yllw),Tabanid (blk/brn),T-dip,Thec. aff.,Thrip (blk),Thrip (yllw),tingid (blk),TinyT-dip,Tip  mnr,Tip roller,Vespid,Wasp (digger),Weevil (blk),Weevil (brn),Weevil (gry)
996,N1-34 x,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,N1-34 c,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,
996,N2-29 x,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,
996,N2-29 c,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
996,N3-27 x,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
996,N3-27 c,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
996,N2-10 x,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,N2-10 c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,
1000,S5-6 x,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1000,S5-6 c,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
